P1,sigma_mu_percent,sigma_mu_ratio,offset_mu_kohm,offset_sigma_ratio,method,BER,FER,bit_errors,frame_errors,frames,payload_bit_trials,BER_ci95_low,BER_ci95_high,FER_ci95_low,FER_ci95_high,evaluation,evaluation_seconds,stopped_by_bit_error_target,detector_error_given_0,detector_error_given_1,BCH_codeword_error_rate,BCH_codeword_errors,sparse_block_class_error_rate,sparse_block_message_BER,shaping_padding_by_3bit_suffix,shaping_selected_accuracy_mean,shaping_fixed_zero_accuracy_mean,decoder_failure_rate
2.000000000000e-04,10,1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,SLNN [1],1.554887218045e-04,3.473684210526e-04,5.170000000000e+02,1.650000000000e+02,4.750000000000e+05,3.325000000000e+06,1.426516019947e-04,1.694808494074e-04,2.982614598995e-04,4.045572770511e-04,Monte Carlo,1.264149427414e+00,True,,,,,,,,,,
2.000000000000e-04,10,1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,without coding,3.156156075774e-03,2.188500170130e-02,,,,,3.156156075774e-03,3.156156075774e-03,2.188500170130e-02,2.188500170130e-02,exact analytical,,,1.280439632322e-06,6.311031711916e-03,,,,,,,,
2.000000000000e-04,10,1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,BCH+sparse,1.098684210526e-04,4.526315789474e-04,5.010000000000e+02,1.290000000000e+02,2.850000000000e+05,4.560000000000e+06,1.006600996586e-04,1.199190127588e-04,3.809835860691e-04,5.377464862346e-04,Monte Carlo,3.284662961960e+00,True,,,4.526315789474e-04,1.290000000000e+02,3.761403508772e-04,1.723308270677e-04,0000;0001;0001;0010;0000;0000;0011;0000,1.000000000000e+00,9.996250000000e-01,
2.000000000000e-04,10,1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,only-BCH,3.375000000000e-07,2.000000000000e-06,2.700000000000e+01,1.000000000000e+01,5.000000000000e+06,8.000000000000e+07,2.319599034494e-07,4.910600618312e-07,1.086385751988e-06,3.681930584419e-06,Monte Carlo,7.544353961945e+00,False,1.280439632322e-06,6.311031711916e-03,,,,,,,,2.000000000000e-06
2.000000000000e-04,10,1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,only-sparse (ML decoding),5.236090225564e-04,1.130526315789e-03,1.741000000000e+03,5.370000000000e+02,4.750000000000e+05,3.325000000000e+06,4.995898232185e-04,5.487823790592e-04,1.038910062066e-03,1.230211796758e-03,Monte Carlo,1.264149427414e+00,True,,,,,,,,,,
2.000000000000e-04,11,1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,SLNN [1],3.780219780220e-04,8.102564102564e-04,5.160000000000e+02,1.580000000000e+02,1.950000000000e+05,1.365000000000e+06,3.467866814568e-04,4.120694978678e-04,6.934179861091e-04,9.467630348170e-04,Monte Carlo,5.089964866638e-01,True,,,,,,,,,,
2.000000000000e-04,11,1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,without coding,5.812931854147e-03,3.998776414423e-02,,,,,5.812931854147e-03,5.812931854147e-03,3.998776414423e-02,3.998776414423e-02,exact analytical,,,3.729315298508e-06,1.162213439300e-02,,,,,,,,
2.000000000000e-04,11,1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,BCH+sparse,1.753472222222e-04,7.944444444444e-04,5.050000000000e+02,1.430000000000e+02,1.800000000000e+05,2.880000000000e+06,1.607071723100e-04,1.913206914573e-04,6.745040219004e-04,9.356927240340e-04,Monte Carlo,2.400937557220e+00,True,,,7.944444444444e-04,1.430000000000e+02,6.922222222222e-04,3.107936507937e-04,0001;0001;0001;0010;1000;0001;0011;0001,1.000000000000e+00,9.990000000000e-01,
2.000000000000e-04,11,1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,only-BCH,5.400000000000e-06,3.600000000000e-05,4.320000000000e+02,1.800000000000e+02,5.000000000000e+06,8.000000000000e+07,4.914222475205e-06,5.933797003874e-06,3.111098683257e-05,4.165727725811e-05,Monte Carlo,7.779200315475e+00,False,3.729315298508e-06,1.162213439300e-02,,,,,,,,3.080000000000e-05
2.000000000000e-04,11,1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,only-sparse (ML decoding),1.551648351648e-03,3.266666666667e-03,2.118000000000e+03,6.370000000000e+02,1.950000000000e+05,1.365000000000e+06,1.487005152248e-03,1.619097168336e-03,3.022997687779e-03,3.529907062791e-03,Monte Carlo,5.089964866638e-01,True,,,,,,,,,,
