P1,sigma_mu_percent,method,BER,FER,bit_errors,frame_errors,frames,payload_bit_trials,BER_ci95_low,BER_ci95_high,FER_ci95_low,FER_ci95_high,evaluation,evaluation_seconds,stopped_by_bit_error_target
2.000000000000e-04,10,Euclidean,5.492857142857e-04,1.205000000000e-03,769,241,200000,1400000,5.118195427552e-04,5.894928638150e-04,1.062235356292e-03,1.366925984377e-03,Monte Carlo,5.140447616577e-01,False
2.000000000000e-04,10,Mahalanobis,5.642857142857e-04,1.215000000000e-03,790,243,200000,1400000,5.262937417108e-04,6.050185825396e-04,1.071607596622e-03,1.377553359895e-03,Monte Carlo,5.140447616577e-01,False
2.000000000000e-04,11,Euclidean,1.519285714286e-03,3.180000000000e-03,2127,636,200000,1400000,1.456121024624e-03,1.585186058601e-03,2.942607328085e-03,3.436478142441e-03,Monte Carlo,5.134599208832e-01,False
2.000000000000e-04,11,Mahalanobis,1.525000000000e-03,3.195000000000e-03,2135,639,200000,1400000,1.461714289479e-03,1.591021333815e-03,2.957028068666e-03,3.452056825631e-03,Monte Carlo,5.134599208832e-01,False
2.000000000000e-04,12,Euclidean,3.377142857143e-03,7.200000000000e-03,4728,1440,200000,1400000,3.282394109002e-03,3.474617064045e-03,6.838805546868e-03,7.580125494304e-03,Monte Carlo,5.011031627655e-01,False
2.000000000000e-04,12,Mahalanobis,3.426428571429e-03,7.290000000000e-03,4797,1458,200000,1400000,3.330983442431e-03,3.524598888708e-03,6.926512827941e-03,7.672414755858e-03,Monte Carlo,5.011031627655e-01,False
2.000000000000e-04,13,Euclidean,6.439285714286e-03,1.393500000000e-02,9015,2787,200000,1400000,6.308135672510e-03,6.573144409829e-03,1.343051159209e-02,1.445816072229e-02,Monte Carlo,5.001163482666e-01,False
2.000000000000e-04,13,Mahalanobis,6.635714285714e-03,1.423000000000e-02,9290,2846,200000,1400000,6.502571391970e-03,6.771564755229e-03,1.372017517783e-02,1.475848580405e-02,Monte Carlo,5.001163482666e-01,False
2.000000000000e-04,14,Euclidean,1.143000000000e-02,2.466500000000e-02,16002,4933,200000,1400000,1.125525218130e-02,1.160742908350e-02,2.399431068558e-02,2.535394943304e-02,Monte Carlo,5.009298324585e-01,False
2.000000000000e-04,14,Mahalanobis,1.160500000000e-02,2.495000000000e-02,16247,4990,200000,1400000,1.142892459869e-02,1.178375570572e-02,2.427548955484e-02,2.564275961543e-02,Monte Carlo,5.009298324585e-01,False
2.000000000000e-04,15,Euclidean,1.858785714286e-02,3.997000000000e-02,26023,7994,200000,1400000,1.836544031321e-02,1.881291595510e-02,3.912027859792e-02,4.083739357511e-02,Monte Carlo,4.982547760010e-01,False
2.000000000000e-04,15,Mahalanobis,1.883357142857e-02,4.029000000000e-02,26367,8058,200000,1400000,1.860970822506e-02,1.906007526620e-02,3.943698657777e-02,4.116067330238e-02,Monte Carlo,4.982547760010e-01,False
