epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.000000000000e-02,5.824320448666e-02,9.859933333333e-01,2.771232090890e-02,9.921133518219e-01
2,1.000000000000e-02,2.851587129238e-02,9.917229629630e-01,2.102586627007e-02,9.938666820526e-01
3,1.000000000000e-02,2.548174384072e-02,9.925725925926e-01,1.923162676394e-02,9.943733215332e-01
4,1.000000000000e-02,2.423957763062e-02,9.928792592593e-01,1.863422617316e-02,9.946933388710e-01
5,1.000000000000e-02,2.316725176863e-02,9.931200000000e-01,1.881226338446e-02,9.945600032806e-01
6,1.000000000000e-02,2.244343995816e-02,9.934222222222e-01,1.744898036122e-02,9.951466917992e-01
7,1.000000000000e-02,2.230787198365e-02,9.934177777778e-01,1.687700673938e-02,9.949399828911e-01
8,1.000000000000e-02,2.196676550719e-02,9.935103703704e-01,1.717528142035e-02,9.948999881744e-01
9,1.000000000000e-02,2.156379056228e-02,9.935748148148e-01,1.813030987978e-02,9.949333071709e-01
10,1.000000000000e-02,2.123817507889e-02,9.936962962963e-01,1.747017353773e-02,9.948733448982e-01
11,5.000000000000e-03,1.885379155207e-02,9.942548148148e-01,1.513151731342e-02,9.955199956894e-01
12,5.000000000000e-03,1.853162237277e-02,9.943466666667e-01,1.597638800740e-02,9.953333139420e-01
13,5.000000000000e-03,1.851771270349e-02,9.942844444444e-01,1.565698161721e-02,9.954733252525e-01
14,5.000000000000e-03,1.823421865814e-02,9.943874074074e-01,1.549499202520e-02,9.954666495323e-01
15,5.000000000000e-03,1.825887257148e-02,9.944096296296e-01,1.597657427192e-02,9.953733086586e-01
16,5.000000000000e-03,1.817054636858e-02,9.944044444444e-01,1.590204052627e-02,9.953133463860e-01
